,Date,Location,Flight,Fatalities,Year,Month,Day,Casualties,Aboard,% Casualty,Decade
1250,1951-11-19,Cairo- EgyptDevlet Hava Yollari,Douglas DC-3TC-ACA,5/5(0),1951,11,19,5,5,100.0,1950
1251,1951-11-21,Calcutta- IndiaDeccan Airways,Douglas DC-3VT-AUO,16/17(0),1951,11,21,16,17,94.11764705882352,1950
1252,1951-11-24,Zurich- SwitzerlandEl Al,Douglas DC-44X-AND,6/7(0),1951,11,24,6,7,85.71428571428571,1950
1253,1951-11-27,San Luis Acatlan- MexicoLineas Aereas Unidas,DC-2-243XA-DOQ,13/21(0),1951,11,27,13,21,61.904761904761905,1950
1254,1951-12-04,Denver- ColoradoUnited Air Lines,Douglas DC-3AN17109,3/3(0),1951,12,4,3,3,100.0,1950
1255,1951-12-13,Yaramunda- Papua- New GuineaQantas,de Havilland DH-84 DragonVH-UR,3/3(0),1951,12,13,3,3,100.0,1950
1256,1951-12-16,Elizabeth- New JerseyMiami Airlines,Curtiss Wright C-46FN1678M,56/56(1),1951,12,16,56,56,100.0,1950
1257,1951-12-23,Tehran- IranMisrair,SNCASE LanguedocSU-AHH,22/22(0),1951,12,23,22,22,100.0,1950
1258,1951-12-27,Near Namtso- RussiaAeroflot,Li-2L4228,20/20(0),1951,12,27,20,20,100.0,1950
1259,1951-12-29,Near Little Valley- New YorkContinental Charters,Curtiss C-46A-50-CUN3944C,26/40(0),1951,12,29,26,40,65.0,1950
1260,1951-12-30,Near Phoenix- ArizonaMilitary - U.S. Air Force,Douglas C-47D47-76266,28/28(0),1951,12,30,28,28,100.0,1950
1261,1951-12-30,Near Fairbanks- AlaskaTransocean Air Lines,Curtiss C 46F-CUN68963,4/4(0),1951,12,30,4,4,100.0,1950
1262,1951-12-31,Calcutta- IndiaKalinga Airlines,Douglas C-47AVT-COA,3/3(0),1951,12,31,3,3,100.0,1950
1263,1952-01-02,Andapa- MadagascarAir France,Junkers JU-52/3mF-BAMQ,6/11(0),1952,1,2,6,11,54.54545454545454,1950
1264,1952-01-10,Com Edno- IrelandAer Lingus,Douglas DC-3EI-AFL,23/23(0),1952,1,10,23,23,100.0,1950
1265,1952-01-19,Off Sandspit- BC- CanadaNorthwest Orient Airlines,Douglas DC-4N45342,36/43(0),1952,1,19,36,43,83.72093023255815,1950
1266,1952-01-22,Elizabeth- New JerseyAmerican Airlines,Convair CV-240-0N94229,23/23(7),1952,1,22,23,23,100.0,1950
1267,1952-02-04,Kikwit- Belgian CongoSabena,Douglas DC-3OO-CBN,15/15(0),1952,2,4,15,15,100.0,1950
1268,1952-02-07,Kaneko- JapanMilitary - U.S. Air Force,Boeing B-29?,13/13(5),1952,2,7,13,13,100.0,1950
1269,1952-02-11,Elizabeth- New JerseyNational Airlines,Douglas DC-6N90891,29/63(4),1952,2,11,29,63,46.03174603174603,1950
1270,1952-02-16,Near Burgio- ItalyHunting Air Travel,Vickers 614 Viking 1G-AHPI,31/31(0),1952,2,16,31,31,100.0,1950
1271,1952-02-19,Nagpur- IndiaDeccan Airways,Douglas DC-3VT-AXE,3/16(0),1952,2,19,3,16,18.75,1950
1272,1952-02-19,Near Yaounde- CameroonSTAAP,Consolidated  32 Liberator IIF-BEFX,9/9(0),1952,2,19,9,9,100.0,1950
1273,1952-02-28,Uberlandia-  BrazilPanair do Brasil,Douglas DC-3APP-PCN,8/8(0),1952,2,28,8,8,100.0,1950
1274,1952-03-03,Nice- FranceAir France,SNCASE LanguedocF-BCUM,38/38(0),1952,3,3,38,38,100.0,1950
1275,1952-03-10,Cebu- PhilippinesPhilippine Air Lines,Douglas C-47A-35-DLPI-C5,3/3(0),1952,3,10,3,3,100.0,1950
1276,1952-03-12,Near Sequin- TexasMilitary - U.S. Air Force / U.S. Air Force,Boeing B-29 / Boeing B-29?,15/15(?),1952,3,12,15,15,100.0,1950
1277,1952-03-22,Near Gaspe- Quebec- CanadaMaritime Central Airways,Douglas C-47-DLCF-BXZ,4/4(0),1952,3,22,4,4,100.0,1950
1278,1952-03-22,Frankfurt- GermanyKLM Royal Dutch Airlines,Douglas DC-6PH-TPJ,45/47(0),1952,3,22,45,47,95.74468085106383,1950
