Date,Location,Aircraft Type/ Registration,Fatalities
02 Jan 1987,Off Bata- Equatorial GuineaMilitary - Spanish Air Force.,CASA 212-100T-12B-32,22/22(0)
03 Jan 1987,Abidjan- Ivory CoastVarig,Boeing B-707-379CPP-VJK,50/51(0)
12 Jan 1987,Toronto- CanadaTrillium Air,Britten-Norman BN-2A-20 IslanderC-GIRH,1/3(0)
13 Jan 1987,Near Asmara- EthiopiaMilitary - Ethiopian Air Force,Antonov AN-12?,54/54(0)
15 Jan 1987,Salt Lake City- UtahSkywest Airlines / Private.,Swearingen SA-226TC / Mooney M-20CN163SW / N6485U,10/10(0)
16 Jan 1987,Tashkent- UzbekistanAeroflot,Yakovlev YAK-40CCCP-87618,9/9(0)
16 Jan 1987,Cima- CaliforniaCalifornia Air Charter,Cessna 208 Caravan IN9613F,1/1(0)
30 Jan 1987,Off Monrovia- LiberiaAir Reconnaissance Unit of Liberia,Cessna U-27A Caravan IARU-021,16/18(0)
05 Feb 1987,Near Jakiri- CameroonAero France,Learjet 55F-GDHR,11/11(0)
06 Feb 1987,Off Papua- New GuineaTalair,Embraer 110P2 BandeiranteP2-RDM,14/17(0)
09 Feb 1987,Near Khost- AfghanistanMilitary - Afghan Republican Air Force,Antonov AN-26?,36/36(0)
14 Feb 1987,Durango- MexicoSkyworld Airlines (Ports of Call Inc.),Boeing B-707-323BN712PC,1/135(0)
04 Mar 1987,Detroit- MichiganNorthwest Airlink,CASA 212 Aviocar 200N160FB,9/22(0)
06 Mar 1987,Near Almaty- KazakhstanAeroflot,Antonov An-26CCCP-26007,9/9(0)
13 Mar 1987,Spokane- WashingtonMilitary - U.S. Air Force,Boeing KC-13560-0361,6/6(1)
21 Mar 1987,Mount San Gorgonio- CaliforniaCalifornia Air National Guard,F-4C Phantom jet fighter64-0923,2/2(0)
27 Mar 1987,Eagle- ColoradoConnie Kalitta Services,Learjet 24AN31SK,3/3(0)
30 Mar 1987,Near Parachinar- PakistanMilitary - Afghan Republican Air Force,Antonov AN-26?,40/40(0)
01 Apr 1987,Anchorage- AlaskaAir Taxi,Cessna 402N967JW,2/2(0)
02 Apr 1987,Near Skien- NorwayScanex Air,Beechcraft King Air C90LN-KCR,10/10(0)
04 Apr 1987,Medan-Polonia- IndonesiaGaruda Indonesia Airlines,McDonnell Douglas DC-9-32PK-GNQ,27/45(0)
13 Apr 1987,Kansas City- KansasBurlington Air Express,Boeing 707-351CN144SP,4/4(0)
23 Apr 1987,Wilmington- North CarolinaAir-Lift Commuter,Swearingen SA-26TC Metro IIN505LB,2/2(0)
05 May 1987,Malakal- SudanSasco Air Lines,Cessna 404 Titan IIST-AIJ,13/13(0)
08 May 1987,Mayaguez- Puerto RicoAmerican Eagle,CASA 212 Aviocar 200N432CA,2/6(0)
09 May 1987,Warsaw- PolandLOT Polish Airlines,Ilyushin IL-62MSP-LBG,183/183(0)
11 May 1987,Pickle Lake- Ontario- CanadaAir Manitoba,Douglas C-47BC-FADD,2/2(0)
13 May 1987,Sayre- PennsylvaniaAir Taxi,Piper PA-32-300N32774,2/3(0)
19 May 1987,Santa Cruz- BoliviaYPFB Transportes Aereos,de Havilland Canada DHC-6 Twin Otter 300CP-1018,14/16(0)
23 May 1987,Near Ruteng- IndonesiaMerpati Nusantara Airlines,de Havilland Canada DHC-6 Twin Otter 300PK-NUW,8/8(0)
25 May 1987,Ilaga- IndonesiaMissionary Aviation Fellowship,de Havilland Canada DHC-6 Twin Otter 100PK-MAM,6/30(0)
30 May 1987, Lübeck - GermanyTravel Air Flug,Cessna 501 CitationD-IAEC,2/4(0)
05 Jun 1987,Bolivar State- VenezuelaRutaca,Britten-Norman BN-2A IslanderYV-230C,10/10(0)
11 Jun 1987,Khost- AfghanistanBakhtar Afghan Airlines,Antonov AN-26YA-BAL,53/53(0)
18 Jun 1987,Near Montelillo- PeruMilitary - Peruvian Air Force,Antonov AN-26FAP-392,46/46(0)
19 Jun 1987,Berdiansk- USSRAeroflot,Yakovlev YAK-40CCCP-87826,8/29(0)
21 Jun 1987,Heho- BurmaBurma Airways,Fokker F-27 Friendship 200XY-ADP,45/45(0)
26 Jun 1987,Near Baguio- PhilippinesPhilippine Air Lines,Hawker Siddeley HS-748-209 Srs. 2RP-C1015,50/50(0)
01 Jul 1987,Fort Bragg AFB- North CarolinaMilitary - U.S. Air Force,Lockheed C-130E Hercules68-10945,4/6(1)
24 Jul 1987,Geneva- SwitzerlandAir Afrique,McDonnell Douglas DC-10-30?,1/163(0)
30 Jul 1987,Mexico City- MexicoBelize Air International Ltd.,Boeing B-377 StratofreighterHI-481,5/12(44)
31 Jul 1987,Guatemala City- GuatemalaDHL,Learjet 23AN28ST,2/3(0)
04 Aug 1987,Calama- ChileLAN,Boeing B-737-2A1CC-CHJ,2/33(0)
16 Aug 1987,Romulus- MichiganNorthwest Airlines,McDonnell Douglas MD-82N312RC,154/155(2)
18 Aug 1987,Near Auturn- FranceOxaero Ltd.,Piper PA-31-350 NavajoG-BGEO,4/7(0)
31 Aug 1987,Off Ko Phuket- ThailandThai Airways,Boeing B-737-2P5HS-TBC,83/83(0)
08 Sep 1987,Carajas- BrazilMilitary - Brazilian Air Force,Hawker Siddeley HS-125-403BFAB2129,9/9(0)
13 Sep 1987,Kunduz- AfghanistanAeroflot,Antonov AN-26?,15/15(0)
21 Sep 1987,Hailey- IdahoAir Taxi,Cessna T210LN2545S,3/3(0)
21 Sep 1987,Luxor- EgyptEgyptAir,Airbus A.300B4-203SU-BCA,5/5(0)
11 Oct 1987,Near Pagan- MyanmarBurma Airways,Fokker F-27 Friendship 500XY-AEL,49/49(0)
11 Oct 1987,El Poleo- ColombiaAeroejecutivos Colombia,de Havilland Canada DHC-6 Twin Otter 310HK-2920,2/9(0)
15 Oct 1987,Mt. Crezzo- ItalyAero Transporti Italiani,Aerospatiale Alenia ATR-42-312I-ATRH,37/37(0)
19 Oct 1987,Komsomolsk-on-Amur- RussiaMAP,Antonov An-12BCCCP-12162,9/9(0)
20 Oct 1987,Indianapolis- IndianaMilitary - U.S. Air Force,A-7D Corsair?,10/11(10)
04 Nov 1987,Bellingham- WashingtonAir Taxi - Flying School of the Cascades Inc.,Cessna 310 NN4178Q,4/4(0)
06 Nov 1987,Ulongue- MalawiAir Malawi,Shorts SC-7 Skyvan 3-1007Q-YMB,10/10(0)
10 Nov 1987,Near Ross River- CanadaKenn Borek Air,de Havilland Canada DHC-4A CaribouC-GVYX,2/4(0)
15 Nov 1987,Denver- ColoradoContinental Airlines,McDonnell Douglas DC-9-14N626TX,28/82(0)
23 Nov 1987,Homer- AlaskaRyan Air Services,Beechcraft 1900CN401RA,18/21(0)
27 Nov 1987,Off Kaikoura- New ZealandFlynn's Ferry Service,Cessna 208 Caravan IZK-SFB,2/2(0)
28 Nov 1987,Off Mauritius- Indian OceanSouth African Airways,Boeing B-747-244B CombiZS-SAS,159/159(0)
29 Nov 1987,Over the Andaman SeaKorean Airlines,Boeing B-707-3B5CHL-7406,115/115(0)
03 Dec 1987,Near Kishwati- RwandaCooper Skybird Air Charters,Cessna 404 Titan5Y-EJS,14/14(0)
07 Dec 1987,San Luis Obispo- CaliforniaPacific Southwest Airlines,British Aerospace BAe-146-200AN350PS,43/43(0)
08 Dec 1987,Off Lima- PeruMilitary - Peruvian Naval Aviation,Fokker F-27 Friendship 400MAE-560,42/43(0)
08 Dec 1987,Kanabea- Papua New GuineaTalair,Britten-Norman BN-2A-2 IslanderP2-MIB,1/4(0)
13 Dec 1987,Near Iligan- PhilippinesPhilippine Air Lines,Shorts 360-300EI-BTJ,15/15(0)
14 Dec 1987,Off Vila dos Remidos- BrazilMilitary - Brazilian Air Force,Lockheed C-130HFAB2468,29/29(0)
21 Dec 1987,Bordeaux- FranceAir Littoral,Embraer 120 BrasiliaF-GEGH,16/16(0)
21 Dec 1987,Eugene IslandAir Taxi - Petroleum Helicopters Inc.,Aerospatiale SA-330JN3596N,15/15(0)
22 Dec 1987,Chadron- NebraskaAir Taxi,Cessna 402CN105GP,2/3(0)
23 Dec 1987,Kenai- AlaskaSouthcentral Air,Piper PA-31-350 NavajoN496SC,6/8(0)
23 Dec 1987,Maunaloa- HawaiiPanorama Air Tour,Piper PA-31-350 NavajoN712AN,8/8(0)
30 Dec 1987,Pacific OceanMerpati Nasantara Airlines,de Havilland Canada DHC-6 Twin Otter 300PK-NUY,17/17(0)
