Date,Location,Aircraft Type/ Registration,Fatalities
05 Jan 1929,Stafford Springs- ConnecticutColonial Air Transport,Fairchild FC-2NC5650,1/1(0)
18 Jan 1929,Cove- OregonVarney Air Lines,Stearman C-38NC1682,1/1(0)
25 Jan 1929,Near Corfu- GreeceAeroespresso,CMASA WalI-AZDA,2/9(0)
31 Jan 1929,Morgantown- West VirginiaSkyline Transportation Company,Travel Air 4000NC6480,1/1(0)
31 Jan 1929,Off MoroccoAeropostale,Latecoere 26F-AIMUF-AIMU,2/2(0)
17 Mar 1929,Newark- New JerseyColonial Western Airlines,Ford 5-AT-B Tri MotorNC7683,14/15(0)
30 Mar 1929,Near Beaumont- CaliforniaNew Standard Airlines,Fokker F-VIIANC7888,4/4(0)
21 Apr 1929,San Diego- CaliforniaMaddux Airlines / Military - U.S.Army Air Force,Ford 5-AT-B Tri-Motor / B-PW-9DNC9636 / 28-037,6/6(0)
09 May 1929,Tampico- MexicoMexicana,Ford Tri-motor 4M-SCAL,5/5(0)
18 May 1929,Tököl-  Pest HungaryMALERT,Fokker F-IIIH-MABC,2/2(0)
22 May 1929,AlgiersAeropostale,Cams 53F-AISX,4/6(0)
13 Jun 1929,Santiago de Cuba- CubaPan American Airways,Fokker F-XNC9700,2/5(0)
14 Jun 1929,Barcelona- SpainAeropostale,Breguet 14F-AFEJ,1/2(0)
17 Jun 1929,Off Dungeness- EnglandImperial Airways,Handley Page W-10G-EBMT,7/13(0)
24 Jun 1929,St. Paul- MinnesotaNorthwest Orient Airlines,Ford 5-AT-B Tri-MotorNC7416,1/8(0)
29 Jun 1929,Near Lindau- Bavaria- GermanyBodensee Aerolloyd,Domier Delphin III (flying boat)D-1620,5/5(0)
29 Jun 1929,Columbus- OhioContinental Air Lines,Travel Air 4000NC5435,1/1(0)
11 Aug 1929,Clovis- New MexicoMiddle States Airlines,Lockheed 5 VegaNC870E,4/4(0)
24 Aug 1929,Elm- GermanyDeutsche Lufthansa,Fokker FG IID-757,4/5(0)
24 Aug 1929,Sochi- RussiaUkvozduchput,Kalinin K-4CCCP-217,1/1(0)
02 Sep 1929,Needles- CaliforniaAssociated Aviators,Lockheed VegaNR859E,1/2(0)
03 Sep 1929,Mt. Taylor- near Grants- New MexicoTrans Continental Air Transport,Ford 5-AT-B Tri MotorNC9649,8/8(0)
06 Sep 1929,Jask- IranImperial Airways,de Havilland DH-66 HerculesG-EBMZ,3/5(0)
14 Sep 1929,North Atlantic OceanAeropostale,Latecoere 25F-AIUJ,6/6(0)
14 Sep 1929,Saint Catharines- OntarioSkyways,Travel Air 6000CF-ABE,6/6(0)
17 Sep 1929,Mt Lamentation- ConnecticutColonial Air Transport,Pitcairn PA-6 Mailwing?,1/1(0)
17 Sep 1929,Jacumba- CaliforniaPickwick Airways,Fairchild 71?,1/2(0)
17 Sep 1929,Off Larache- MoroccoAeropostale,Latecoere 25-3-RF-AIUJ,5/5(0)
26 Oct 1929,Off Spezia- ItalyImperial Airways,Short Calcutta (flying boat)G-AADN,7/7(0)
29 Oct 1929,Mount Vernon- OhioContinental Air Lines,Stearman C-38?,1/1(0)
31 Oct 1929,Off Bremerton- WashingtonBremerton-Seattle Air Taxi / Gorst Air Lines,Loening C-2CNC9158,2/2(0)
04 Nov 1929,Cerro del Carbon- MexicoCorp. Aeronautica de Transportes,Lockheed Vega 5NC46M,4/4(0)
06 Nov 1929,Near Godstone- Surrey- EnglandDeutsche Lufthansa,Junkers G-24D-903,7/8(0)
16 Nov 1929,Off Corsica- FranceAir Union,Liore et Olivier 190F-AIGB,3/3(0)
20 Nov 1929,Terranova Pausania- East SardiniaS.A.M. Società Aerea Mediterranea,Savoia Marchetti S55I-TACO,1/12(0)
30 Nov 1929,Vancouver- WashingtonVarney Air Lines,Stearman M-2 SpeedmailNC8199,1/1(0)
02 Dec 1929,Chagrin Falls- OhioNational Air Transport,Douglas M-3NC789,1/1(0)
19 Dec 1929,Near Berlin- GermanyDeutsche Lufthansa,Arado V1D-1594,2/3(0)
30 Dec 1929,Amarillo- TexasTrans Continental Air Transport,Travel Air B6000?,5/5(0)
