Date,Location,Aircraft Type/ Registration,Fatalities
03 Jan 1975,Moscow- RussiaAeroflot,Tupolev TU-124CCCP-45037,61/61(0)
03 Jan 1975,Near Nha Trang- VietnamAir America,Fairchild C-123KST-1,9/9(0)
05 Jan 1975,Palmer- WashingtonRichland Flying Service - Air Taxii,Cessna TU206DN71972,3/4(0)
06 Jan 1975,Sierra del Aconquija- ArgentinaMilitary - Argentine Navy,de Havilland Canada DHC-6 Twin Otter 200AE-259,12/12(0)
08 Jan 1975,Near Doncello- ColombiaSATENA,Douglas DC-3FAC-688,21/21(0)
09 Jan 1975,Whittier- CaliforniaGolden West Airlines / Private,de Hav Can. DHC-6 Tw Otter 100/ CessnaN6383,14/14(0)
13 Jan 1975,Juneau- AlaskaChannel Flying Service - Air Taxi,de Havilland DHC-2N1944,5/5(0)
15 Jan 1975,Budapest- HunaryMalev Hungarian Airlines,Ilyushin IL-18VHA-MOH,9/9(0)
16 Jan 1975,Xam Neua- LaosAeroflot,Antonov AN-12?,16/16(0)
30 Jan 1975,Istanbul- TurkeyTurkish Airlines (THY),Fokker F-28 Fellowship 1000TC-JAP,42/42(0)
30 Jan 1975,Santo Domingo- Dominican RepublicLinea Aérea Nacional,Douglas DC-3-313HI-222,1/30(0)
01 Feb 1975,Valdez- AlaskaKenai Air Service - Air Taxi,Piper PA-31N54734,2/2(0)
01 Feb 1975,Houston- TexasHorizon Properties,Douglas DC-3CN15HC,5/16(0)
03 Feb 1975,Manila- PhilippinesPhilippine Air Lines,Hawker Siddeley HS-748 2RP-C1028,33/33(0)
09 Feb 1975,Souda- CreteMilitary - Deutsche Luftwaffe,Transall C-1605063,40/40(0)
16 Feb 1975,Fairbanks- AlaskaPacific Alaska Airlines,Douglas DC-6BFN77DG,3/3(0)
22 Feb 1975,Medellin- ColombiaAerocondor,Canadair CL-44HK-1972,5/5(0)
27 Feb 1975,Near Sao Paulo- BrazilVASP,Embraer 110C BandeirantePP-SBE,15/15(0)
05 Mar 1975,Waterford- WisconsinBurlington Air - Air Taxi,Beechcraft 95N2061C,2/4(0)
12 Mar 1975,Pleiku- South VietnamAir Vietnam (South Vietnam),Douglas DC-4XV-NUJ,26/26(0)
16 Mar 1975,Near Barito- ArgentinaMilitary - Argentine Air Force,Fokker F-27 Friendship 400MTC-72,55/55(0)
18 Mar 1975,Singa- SudanSudan Airways,de Havilland Canada DHC-6 Twin Otter 100ST-ADB,5/6(0)
18 Mar 1975,Near Terney- RussiaAeroflot,Antonov An-2CCCP-05655,7/12(0)
20 Mar 1975,Near Quilcene- WashingtonMilitary - U.S. Air Force,Lockheed C-141A (L.300)64-0641,16/16(0)
04 Apr 1975,Saigon- South VietnamMilitary - U.S. Air Force,Lockheed C-5A Galaxy68-218,155/330(0)
22 Apr 1975,Goleta- CaliforniaSkips Air Service - Air Taxi,Cessna 310QN7634Q,3/3(0)
28 Apr 1975,Deadhorse- AlaskaGay Airways - Air Taxi,Bell 206N59521,2/4(0)
03 May 1975,Near Sardinata- ColombiaSATENA,Douglas DC-3FAC- 663,3/6(0)
10 May 1975,Off Cape Paterson- AustraliaAir Express,Bristol 170 Freighter 21EVH-SJQ,2/2(0)
12 May 1975,Savoonga- AlaskaFoster Aviation,Piper PA-23-250N5067Y,6/6(0)
13 May 1975,Near Sakon Nakhon- ThailandMilitary - U.S. Air Force,Sikorsky CH-53C (helicopter)68-10933,23/23(0)
03 Jun 1975,Manila- PhilippinesPhilippine Air Lines,BAC One-Eleven 524FFRP-C1184,1/64(0)
17 Jun 1975,Pedro Alfonso- BrazilVarig,Hawker Siddeley HS-748-235 Srs. 2APP-VDN,1/15(3)
24 Jun 1975,JFK Airport- New York- New YorkEastern Air Lines,Boeing B-727-225N8845E,113/124(0)
26 Jun 1975,Toledo- OhioHamilton Aviation,Beechcraft E18SN791A,2/2(0)
30 Jun 1975,Near Saravena- ColombiaTaxi Aereo El Venado,Douglas DC-4HK-1309,3/3(0)
02 Jul 1975,Nantes- FranceTouraine Air Transport,Beechcraft 99F-BTQE,8/8(0)
03 Jul 1975,Near Colina- ChileMilitary - Chilian Air Force,Douglas C-47AFAC-970,10/10(0)
10 Jul 1975,Homer- AlaskaHomer Air Service - Air Taxi,Piper PA-18N6817L,2/2(0)
10 Jul 1975,Bogota- ColombiaAerovias Condor,Lockheed L-188AF ElectraHK-1976,2/4(0)
15 Jul 1975,Poway- CaliforniaOceanaire Helicopter - Air Taxi,Bell 206BN58137,4/4(0)
15 Jul 1975,Near Batumi- Georgia- USSRAeroflot,Yakovlev YAK-40CCCP-87475,40/40(0)
26 Jul 1975,Imlay City- MichiganMilitary - U.S. Air Force,Lockheed C-130A Hercules57-0454,6/6(0)
31 Jul 1975,Taipei- TaiwanFar Eastern Air Transport,Vickers 837 ViscountB-2029,28/76(0)
31 Jul 1975,Santiago- ChileMilitary - Chilean Air Force,Douglas C-47970,10/10(0)
03 Aug 1975,Off Amapala- HondurasMilitary - Nicaraguan Air Force,Douglas DC-47412,20/20(0)
03 Aug 1975,Near Immouzer- MoroccoAlia Royal Jordanian Airlines,Boeing B-707-321CJY-AEE,188/188(0)
07 Aug 1975,Denver- ColoradoContinental Airlines,Boeing B-727-224N88777,0/131(0)
09 Aug 1975,Bagdarin- RussiaAeroflot,Ilyushin IL-14M	 CCCP-52056,11/11(0)
15 Aug 1975,Krasnovodsk- USSRAeroflot,Yakovlev YAK-40CCCP-87323,23/38(0)
20 Aug 1975,Near Damascus- SyriaCeskoslovenske Aerolinie,Ilyushin IL-62OK-DBF,126/128(0)
25 Aug 1975,Minford- OhioPortsmouth Aviation - Air Taxi,Piper PA-28N44323,2/4(0)
30 Aug 1975,Near Gambell- AlaskaWien Air Alaska,Fairchild F-27BN4904,10/32(0)
30 Aug 1975,Off Punta Amapala- El SalvadorMilitary - Nicaraguan Air Force,Douglas C-47412,20/20(0)
01 Sep 1975,Leipzig-Halle- East GermanyInterflug,Tupolev TU-134DM-SCD,27/34(0)
11 Sep 1975,Near Bahar Dar- EthiopiaEthiopian Airlines,Douglas C-47-DLET-ABX,1/9(0)
24 Sep 1975,Near Palembang- IndonesiaGaruda Indonesia Airlines,Fokker F-28 Fellowship 1000PK-GVC,25/61(1)
30 Sep 1975,Off Beirut- LebanonMalev Hungarian Airlines,Tupolev TU-154BHA-LCI,60/60(0)
30 Sep 1975,Klua Tan Tan- CanadaNorthern Thunderbird Air,de Havilland Canada DHC-6 Twin Otter 200CF-MHU,7/7(0)
30 Sep 1975,Barranquilla- ColombiaAVIANCA,Boeing 727-24CHK-1272,4/4(0)
22 Oct 1975,Novgorod- Russia?,?CCCP-87458,6/6(5)
23 Oct 1975,Cairns Airport- Queensland- AustraliaConnair,de Havilland DH114 Heron 2EVH-CLS,11/11(0)
26 Oct 1975,Zephyr Cove- NevadaAir Taxi,Piper PA-34N1495X,2/2(0)
27 Oct 1975,Tomonoco- BoliviaTAM (Bolivia),Convair CV-440-12TAM-44,67/67(0)
30 Oct 1975,Near Prague- CzechoslovakiaInex Adria Aviopromet,McDonnell Douglas DC-9-32YU-AJO,75/120(0)
03 Nov 1975,Gulf of MexicoPetroleum Helicopter,Bell 212N90057,9/9(0)
07 Nov 1975,State College- PennsylvaniaQuakertown Aviation - Air Taxi,NA Rockwell 112N4QA,4/4(0)
09 Nov 1975,Willow- AlaskaWillow Air Service - Air Taxi,Piper PA-18N2580P,3/3(0)
17 Nov 1975,Near Sukhumi- Georgia- USSRAeroflot,Antonov AN-24CCCP-46467,38/38(0)
18 Nov 1975,Caoba- GuatemalaAviateca,Douglas DC-3TG-AGA,15/22(0)
20 Nov 1975,Kharkov- Ukraine- USSRAeroflot,Antonov AN-24CCCP-46349,19/50(0)
22 Nov 1975,Near Novgorod- USSRAeroflot,Yakovlev 40CCCP-87458,6/6(5)
22 Nov 1975,Sofia- BulgariaBalkan Bulgarian Airlines,Antonov AN-24BLZ-ANA,3/48(0)
25 Nov 1975,Near Bir Lahfan- EgyptMilitary - Israel  Air Force,Lockheed C-130 Hercules011,20/20(0)
29 Nov 1975,Hertfordshire- EnglandPrivate,Piper PA-23-250 AztecN6645Y,6/6(0)
30 Nov 1975,Elko- NevadaScenic Airline - Air Taxi,Cessna 402N52SA,2/2(0)
21 Dec 1975,Tacloban- PhilippinesPhilippine Aerotransport,Britten-Norman BN-2A-21 IslanderRP-C2136,9/9(0)
26 Dec 1975,Rollinsville- ColoradoStar Aviation,Mitsubishi MU-2BN133MA,9/9(0)
