Date,Location,Aircraft Type/ Registration,Fatalities
11 Jan 1979,Templeton- MassachusettsNash and Tampo - Air Taxi,Piper PA-31N33TN,5/5(0)
15 Jan 1979,Minsk- RussiaAeroflot,Antonov AN-24NCCCP46807,13/13(0)
18 Jan 1979,Near Belgorod- RussiaAeroflot,Let 410MCCCP-67210,3/3(0)
19 Jan 1979,Grand Rapids- MichiganL.J. Simmons - Air Taxi,Aerostar 601N7437S,4/6(0)
24 Jan 1979,Bechar- AlgeriaAir Algerie,Nord 262A-447T-VSU,14/23(0)
27 Jan 1979,Rodez- FranceAir Rouergue,Fokker F-27 Friendship 500F-BYAH,5/6(0)
30 Jan 1979,125 miles ENE of Tokyo- JapanVarig,Boeing B-707-326CPP-VLU,6/6(0)
05 Feb 1979,Trebinje- Bosnia HerzegovinaAeropol,Antonov 2PFSP-TBB,3/3(0)
08 Feb 1979,Near Agudos- BrazilTAM Lineas Aéreas Regional,Embraer 110C BandeirantePP-SBB,18/18(0)
12 Feb 1979,Clarksburg- West VirginiaAllegheny Airlines,Nord 262N29824,2/25(0)
12 Feb 1979,Near Kariba- RhodesiaAir Rhodesia,Vickers Viscount 748DVP-YND,59/59(0)
17 Feb 1979,Manakau Harbor- New ZealandAir New Zealand,Fokker F-27 Friendship 500ZK-NFC,2/4(0)
19 Feb 1979,Barentu- EthiopiaEthiopian Airlines,Douglas DC-3ET-AFW,5/5(0)
26 Feb 1979,Greensville- MississippiAir Service - Air Taxi,Beech 58N2055K,3/3(0)
26 Feb 1979,Near Moanda- GabonAir Gabon,Douglas DC-6BTR-LXN,3/3(0)
01 Mar 1979,Gulfport- MississippiUniversal Airways,Beech BE-70N777AE,8/8(0)
02 Mar 1979,Galesburg- IllinoisAgee Flying Service - Air Taxi,Cessna 310BN5384A,4/4(0)
06 Mar 1979,Near Probolinggo- IndonesiaGaruda Indonesia Airlines,Fokker F-28 Fellowship 1000PK-GVP,4/4(0)
10 Mar 1979,Off Marina del Rey- CaliforniaSwift Aire Lines Inc.,Aerospatiale Nord 262A-33N418SA,3/7(0)
14 Mar 1979,Near Doha Airport- QatarAlia Royal Jordanian Airlines,Boeing B-727-2D3JY-ADU,45/64(0)
14 Mar 1979,Bejing- ChinaCAAC,Hawker Siddeley Trident 2EB-274,12/12(32)
17 Mar 1979,Near Moscow- RussiaAeroflot,Tupolev TU-104BCCCP-42444,58/119(0)
20 Mar 1979,Chardzhow- RussiaAeroflot,Yakovlev YAK-40CCCP-78390,29/29(0)
22 Mar 1979,Liepaya- LatviaAeroflot,Tupolev 134ACCCP-65031,4/5(0)
