Date,Location,Aircraft Type/ Registration,Fatalities
01 Jan 1978,Off Bandra- Maharashtra- IndiaAir India,Boeing B-747-237BVT-EBD,213/213(0)
06 Jan 1978,Marion- IllinoisAviation Charter - Air Taxi,Cessna 337GN719047,2/2(0)
24 Jan 1978,Dubois- PennsylvaniaHenry Webber Air - Air Taxi,Aerostar 601PN1BE,2/2(0)
27 Jan 1978,Near San Vincente- ColombiaSADELCA,Douglas DC-3HK-1351X,14/14(0)
31 Jan 1978,Eirunepe- BrazilTABA,Embraer 110P BandeirantePT-GKW,2/14(0)
10 Feb 1978,Near Artigas- UruguayMilitary - Uruguayan Air Force,Douglas C-47A-DLT511,44/44(0)
10 Feb 1978,Richland- WashingtonColumbia Pacific Airlines,Beechcraft 99N199EA,17/17(0)
11 Feb 1978,Cranbrook- British Columbia- CanadaPacific Western Airlines,Boeing B-737-275C-FPWC,42/49(0)
18 Feb 1978,Genoa Peak- NevadaChartair - Air Taxi,Beechcraft 58N4307W,4/4(0)
27 Feb 1978,Merrill Pass- AlaskaYute Air Alaska - Air Taxi,Evangel 4500N4508L,3/3(0)
28 Feb 1978,Solvang- CaliforniaSecurity Air,Aero Commander 500AN6143X,7/7(0)
01 Mar 1978,Agana- GuamIsland Air,Cessna 337FN101SX,2/6(0)
01 Mar 1978,LAX- Los Angeles- CaliforniaContinental Airlines,McDonnell Douglas DC-10-10N68045,2/200(0)
02 Mar 1978,Kano- NigeriaNigeria Airways,Fokker F-28 Fellowship 1000 / MiG-215N-ANA / ?,18/18(0)
03 Mar 1978,Off Caracas- VenezuelaLAV - Linea Aeropostal Venezolana,British Aerospace 748 2AYV-45C,47/47(0)
07 Mar 1978,Laurel- MississippiHesler Noble - Air Taxi,Cessna 310IN8114M,2/2(0)
14 Mar 1978,Whitelake- MichiganWyman Pilot Service - Air Taxi,Beechcraft D18N427Q,2/2(0)
16 Mar 1978,Vrastsa- BulgariaBalkan Bulgarian Airlines,Tupolev TU-134LZ-TUB,73/73(0)
22 Mar 1978,Near Riverside- CaliforniaLake Havasu Air,Cessna T207AN7354U,6/6(0)
25 Mar 1978,Okaraba- BurmaBurma Airways,Fokker F-27 Friendship 200XY-ADK,48/48(0)
26 Mar 1978,Volta Redonda- Rio de Janeiro- BrazilAero Clube de Volta Redonda,Piper Cherokee Arrow  PA-28PT - CIH,4/4(0)
04 Apr 1978,Off Galveston- TexasAir Logistics,Bell 212N140AL,3/6(0)
05 Apr 1978,St. Thomas- Virgin IslandsAntilles Air,Grumman G-21N877A,2/9(0)
20 Apr 1978,Near Murmansk- RussiaKorean Airlines,Boeing B-707-321BHL-7429,2/109(0)
23 Apr 1978,Arlington- IndianaAir Taxi,Piper PA-31N49MC,9/9(0)
27 Apr 1978,Upolu- West SamoaSouth Pacific Island Airways,Cessna 402BN3SP,10/10(0)
29 Apr 1978,Bogota- ColombiaLAC Colombia,Douglas C-118AHK-1705,8/12(0)
08 May 1978,Pensacola- FloridaNational Airlines,Boeing B-727-235N4744,3/58(0)
18 May 1978,Kouchi- JapanMilitary - Japan Maritime Self Defense Force,PS-1 amphibious ASW?,13/13(0)
19 May 1978,Pochinok- RussiaAeroflot,Tupolev TU-154BCCCP-85169,4/134(0)
