Date,Location,Aircraft Type/ Registration,Fatalities
03 Jan 1992,Gabriels- New YorkCommutair,Beechcraft 1900CN55000,2/4(0)
13 Jan 1992,Temple Bar- ArizonaAir Taxi - Air Vegas Inc.,Cessna T210LN22592,2/5(0)
20 Jan 1992,Mt. Saint-Odile- near Strasbourg- FranceAir Inter,Airbus A320-111F-GGED,87/96(0)
27 Jan 1992,Nanaimo- British Columbia- CanadaAir Rainbow,Beech C18SC-FRVR,7/9(0)
28 Jan 1992,Near Stepanakert- AzerbaijanMilitary - Azerbaijan Air Force,Mil Mi-8 (helicopter)?,47/47(0)
03 Feb 1992,Caetite- BrazilNordeste Linhas Aéreas,Embraer 110C BandeirantePT-TBB,12/12(0)
06 Feb 1992,Evansville- IndianaMilitary - U.S. Air Force,Lockheed C-130B58-0732,5/5(11)
09 Feb 1992,Near Kafountine- SenegalGambcrest,Convair CV- 640N862FW,30/56(0)
15 Feb 1992,Toledo- OhioATI,McDonnell Douglas DC-8-63FN794AL,3/4(0)
20 Feb 1992,En route from Argentina  to  CaliforniaAerolineas Argentinas,Boeing B-747?,1/?(0)
02 Mar 1992,Beni- BoliviaFrigorifico Santa Rita,Curtiss C-46TCP-754,5/5(0)
12 Mar 1992,Knotsville- TennesseeCC Air,BAe 3101 Jetstream 31N165PC,2/2(0)
12 Mar 1992,Etsouali- CongoLina Congo,de Havilland Canada DHC-6 Twin Otter 300TN-ACX,3/8(0)
22 Mar 1992,La Guardia Airport- New York- New YorkUSAir,Fokker F-28 Fellowship 4000N485US,27/51(0)
22 Mar 1992,Near Yakutia- RussiaAeroflot,Antonov AN-30CCCP-30002,10/10(0)
24 Mar 1992,Athens- GreeceGolden Star Air Cargo,Boeing 707-321CST-ALX,7/7(0)
04 Apr 1992,Near Baikov- RussiaKamchatavia,Let 410UVPCCCP-67130,1/12(0)
07 Apr 1992,Near Sarra- LibyaAir Bissau,Antonov AN-24RVJ5-GAE,3/13(0)
10 Apr 1992,Off Orchid Island- TaiwanTaiwan Airlines,Britten Norman BN-2A-26 TrislanderB-11116,7/10(0)
15 Apr 1992,Near Goroka- Papua New GuineaTalair,Embraer 110P1 BandeiranteP2-RDS,11/15(0)
16 Apr 1992,Nairobi- KenyaMilitary - Kenyan Air Force,de Havilland DHC-5 Buffalo218,46/46(6)
17 Apr 1992,Hamburg- PennsylvaniaAir Taxi - Basco Flying Service Inc.,Piper PA-23-250N62774,4/4(0)
22 Apr 1992,Mt. Haleakala- HawaiiScenic Air Tours,Beechcraft E18SN342E,9/9(0)
22 Apr 1992,Perris Valley- CaliforniaPerris Valley Aviation,de Havilland Canada DHC-6 Twin Otter 200N141PV,16/22(0)
26 Apr 1992,Saveh- IranSaha Airline Services,Fokker F-27 Friendship 400M5-8815,39/39(0)
28 Apr 1992,Blewett Falls Lake- North CarolinaMilitary - U.S. Air Force,Lockheed C-130E Hercules64-0501,9/9(0)
06 Jun 1992,Tucuti- PanamaCOPA (Panama),Boeing B-737-204HP-1205,47/47(0)
07 Jun 1992,Mayaguez- Puerto RicoAmerican Eagle,CASA 212 Aviocar 200N355CA,5/5(0)
08 Jun 1992,Anniston- AlabamaGP Express Airlines,Beechcraft C99N118GP,3/6(0)
12 Jun 1992,Sheboygan Falls- WisconsonJet Charter Group,Learjet 25BN38DJ,2/2(0)
19 Jun 1992,Meadview- ArizonaAdventure Airlines,Cessna 402CN2715X,10/10(0)
19 Jun 1992,Canbera- ACT- AustraliaAir taxi,Beech Baron 95-B55VH-JDL,6/6(0)
22 Jun 1992,Cruzeiro do Sul- BrazilVASP,Boeing 737-2A1CPP-SND,3/3(0)
