Date,Location,Aircraft Type/ Registration,Fatalities
02 Jan 1971,Ben Gashir- LibyaUnited Arab Airlines,de Havilland Comet 4CSU-ALC,16/16(0)
09 Jan 1971,Edison- New JerseyAmerican Airlines / Private,Boeing B-707-323 / Cessna 150N7595A/N60942,2/21(0)
18 Jan 1971,Zurich- SwitzerlandBalkan Bulgarian Airlines,Ilyushin IL-18LZ-BED,45/47(0)
21 Jan 1971,Near Pacae- PeruFuerza Aérea del Peru,Curtiss-Wright C-46FAP-381,35/35(0)
21 Jan 1971,Near Privas- FranceL'Armée de L'Air,Nord 262A-34F-RBOA,21/21(0)
22 Jan 1971,Surgut- USSRAeroflot,Antonov AN-12BCCCP 11000,14/14(0)
23 Jan 1971,Near Sokcho- South KoreaKorean Airlines,Fokker F-27 Friendship 500HL-5212,2/60(0)
25 Jan 1971,Merida- VenezuelaLinea Aeropostal Venezolana,Vickers Viscount 749YV-C-AMV,18/48(0)
31 Jan 1971,Voroshilovgrad- RussiaAeroflot,Antonov AN-10CCCP-12996,7/7(0)
07 Feb 1971,Aguadilla- Puerto RicoJamie Ramirez - Air Taxi,Piper PA-28N3680K,3/3(0)
17 Feb 1971,Mt. Cunatineuta- EcuadorTAM (Transportes Aereos Militares),Curtiss C-46TAM-60,12/12(0)
26 Mar 1971,Gauhati- IndiaJamair,Douglas DC-3VT-ATT,15/15(0)
31 Mar 1971,Ontario- CaliforniaWestern Airlines,Boeing B-720-047BN3166,5/5(0)
31 Mar 1971,Vorochilovgrad- UkraineAeroflot,Antonov An-10CCCP-11145,65/65(0)
15 Apr 1971,Near San Jose- PhilippinesMilitary - Philippine Air Force,Douglas C-47A293246,39/40(0)
20 Apr 1971,Kayenta- ArizonaMonument Valle - Air Taxi,Cessna TU206BN4960F,2/2(0)
21 Apr 1971,C. Amalie- Virgin IslandsCostal Airway,Beech E18SN456T,8/8(0)
22 Apr 1971,Manchester- New HampshireNew England Aviaiton,Beechcraft C35N144H,4/4(0)
06 May 1971,Coolidge- ArizonaApache Airlines - Air Taxi,de Havilland 104-7XN4922V,12/12(0)
11 May 1971,Guatemala City- GuatemalaAviateca,Curtiss C-46A-55-CKTG-ACA-A,5/35(0)
12 May 1971,Anaktvk Pass- AlaskaGay Airways - Air Taxi,Sud Aviation SA 318CN9222,2/4(0)
23 May 1971,Near Rijeka- YugoslaviaAviogenex (Yugoslavia),Tupolev TU-134AYU-AHZ,78/83(0)
25 May 1971,Santiago- Chile	Aerolineas Flecha Austral - ALFA,	Curtiss C-46	CC-CAZ,4/4(0)
26 May 1971,Near Capetown- South AfricaMilitary - South African Air Force,Hawker Siddeley HS 125-400B (3)01 / 02 / 03,11/11(0)
28 May 1971,Roanoke- VirginiaPrivate,Aero Commander 680EN601JJ,6/6(0)
06 Jun 1971,Near Duarte- CaliforniaHughes Airwest  / Military - US Marine Air Corps,McDonnell Douglas DC-9-31 / F4-BN9345/151458,50/51(0)
