Date,Location,Aircraft Type/ Registration,Fatalities
12 Apr 2002,Palma de Mallorca- SpainTadair,Swearingen SA.227AC Metro IIIEC-GKR,2/2(0)
15 Apr 2002,Busan- South KoreaAir China,Boeing B-767-200ERB-2552,128/166(0)
18 Apr 2002,Near Sweers Island- QLD- AustraliaAir taxi,Cessna U206AVH-XGR,6/6(0)
19 Apr 2002,Popayán- ColombiaSELVA Colombia,Antonov AN-32AHK-4171X,3/8(0)
24 Apr 2002,Near Olancho- HondurasPrivate,Cessna 206GN7344N,6/6(0)
28 Apr 2002,Near Abakan- RussiaPrivate,Mi-8 helicopter?,8/20(0)
04 May 2002,Kano- NigeriaEAS Airlines (Executive Airline Services),BAC One-Eleven 525FT5N-ESF,74/77(78)
07 May 2002,Off Dalian- ChinaChina Northern Airlines,McDonnell Douglas MD-82B-2138,112/112(0)
07 May 2002,Near Tunis- TunisiaEgyptAir,Boeing B-737-566SU-GBI,14/62(0)
21 May 2002,Near Calabar- NigeriaSky Executive Air Services,LET 410UVP9Q-CEX,5/5(0)
25 May 2002,Near Nabire- IndonesiaTrigana Air Service,de Havilland Canada DHC-6 Twin Otter 300PK-YPZ,6/6(0)
25 May 2002,Off Penghu Island- TaiwanChina Airlines (Taiwan),Boeing B-747-209BB-18255,225/225(0)
01 Jun 2002,George- South AfricaAirquarius Aviation - Charter,Hawker Siddeley HS-748-372ZS-OJU,3/3(0)
02 Jun 2002,Near Ndalatando- AngolaMilitary - Angolan Armed Forces,Mi-17?,20/25(0)
04 Jun 2002,Oiapoque- Amapa- BrazilMarco Zero Air Taxi,Embraer 721C SertanejoPT-EPH,5/5(0)
11 Jun 2002,Winnipeg- ManitobaKeystone Air Services Ltd. - Air Taxi,PA- 31-350 ChieftainC-GPOW,1/8(0)
12 Jun 2002,Near Gardez- AfghanistanMilitary - U.S. Air Force,Lockheed MC-130H Hercules84-0475,3/10(0)
01 Jul 2002,Uberlingen- GermanyBashkirian Airlines / DHL Worldwide Express,Tupolev TU-154M / Boeing B-757-23APFRA85816/A9C-DHL,71/71(0)
04 Jul 2002,Bangui- Central African RepublicPrestige Airlines (Cargo) Charter,Boeing B-707-123B9XR-IS,25/27(0)
04 Jul 2002,San Dimas- CaliforniaPrivate,Cessna 310N8145M,2/2(2)
12 Jul 2002,Port Alsworth- AlaskaAir Taxi - Bigfoot Air of Alaska- LLC,de Havilland DHC-2N3129F,4/4(0)
16 Jul 2002,Off Cromer- Norfork- EnglandBristow Helicopters,Sikorsky S-76AG-BJVX,11/11(0)
16 Jul 2002,Near Long Barai- IndonesiaSabang Merauke Raya Air Charter,Britten-Norman BN-2A IslanderPK-TAR,10/10(0)
17 Jul 2002,Surkhet- NepalSkyline Airways,de Havilland Canada DHC-6 Twin Otter 3009N-AGF,4/4(0)
27 Jul 2002,Lviv- UkraineMilitary - Ukraine Air Force,Sukhoi Su-2742,0/2(85)
28 Jul 2002,Moscow- RussiaPulkovo Aviation Enterprise,Iluyshin Il-86RA-86060,14/16(0)
07 Aug 2002,Caguas- Puerto RicoMilitary - U.S. Air Force,Lockheed MC-130H Hercules90-0161,10/10(0)
15 Aug 2002,Kadjuduwa Watta- Sri LankaMilitary - Sri Lanka Air Force,Yunshuji Y-8DCR-873,5/5(0)
19 Aug 2002,Khankala- ChechnyaMilitary - Russian Air Force,Mil Mi-2689RED,121/147(0)
22 Aug 2002,Pokhara- NepalShangri La Air,de Havilland Canada DHC-6-300 Twin Otter9N-AFR,18/18(0)
29 Aug 2002,Near Ayan- RussiaVostok Aviakompania,Antonov AN-28RA-28932,16/16(0)
30 Aug 2002,Lexington- KentuckyCare Flight International,Learjet 25CN45CP,1/5(0)
30 Aug 2002,Rio Branco- BrazilRico Taxi Aéreo,Embraer 120ER BrasiliaPT-WRQ,23/31(0)
02 Sep 2002,Near Xichang- ChinaCAAC Air Traffic Management Bureau,Cessna 650 Citation VIB-7023,3/3(0)
04 Sep 2002,High Prarie- Alberta- CanadaAirco Charters - Air Taxi,PA-34-220T Seneca IIIC-FRKZ,2/2(0)
13 Sep 2002,Pucallpa- PeruAero Pantanal - Air Taxi,Cessna U206GOB-1226,6/6(0)
14 Sep 2002,Paranapanema- Sao Paulo- BrazilTotal  Air Lines,ATR 42-300PT-MTS,2/2(0)
28 Sep 2002,Near Natashquan- Quebec- CanadaDeraps Aviation,de Havilland Canada DHC-3 OtterC-FLGA,3/4(0)
01 Oct 2002,Vasco- IndiaMilitary - Indian Navy,Ilyushin IL-38 / Ilyushin IL-38IN302 / IN304,12/12(5)
07 Oct 2002,Santa Cruz do Sul- BrazilAmerican Virginia,Learjet 60N5027Q,1/5(0)
23 Oct 2002,Spanish Fort- AlabamaMid-Atlantic Freight,Cessna 208B Cargomaster IN76U,1/1(0)
25 Oct 2002,Eveleth- MinnesotaAviation Charter - Air Taxi,Beechcraft King Air A100N41BE,8/8(0)
06 Nov 2002,Near Niederanven- LuxembourgLuxair,Fokker 50LX-LGB,20/22(0)
07 Nov 2002,Tarakan- IndonesiaDirgantara Air Services,Britten-Norman BN-2A-21PK-VIZ,7/10(0)
08 Nov 2002,Taos- New MexicoRichmor Aviation,IAI 1124A WestwindN61RS,2/2(0)
11 Nov 2002,Manila- PhilippinesLaoag International Airlines,Fokker F27 Friendship 100RP-C6888,19/34(0)
28 Nov 2002,Masai Mara Game Reserve- KenyaEagle Aviation,Let 410UVP-E205Y-ONT,1/20(0)
09 Dec 2002,Mena- ArkansasRaytheon Aircraft,Beechcraft 1900CN127YV,3/3(0)
13 Dec 2002,Gohu Airstrip- Papua New GuineaIsland Airways Ltd.,Britten-Norman BN-2A-26 IslanderP2-CBB,8/8(0)
17 Dec 2002,Rockford- IllinoisPlanemasters,Cessna 208B Caravan I Super CargomasterN277PM,1/1(0)
21 Dec 2002,Off Pachao Tao- TaiwanTransasia Airways,Aérospatiale/Aeritalia ATR-72-202B-22708,2/2(0)
23 Dec 2002,Near Isfanan- IranAeromist-Kharkiv,Antonov AN-140UR-14003,44/44(0)
25 Dec 2002,Off Manteo- North CarolinaTelford Aviation,Cessna 208B Caravan IN1122Y,1/1(0)
26 Dec 2002,Curitiba- BrazilMilitary - Brazilian Air Force,Embraer-110 C-95B BandeiranteFAB-2292,3/16(0)
27 Dec 2002,Anjouan- Comoros IslandsOcean Airlines,Let 410UVP9XR-RB,1/16(0)
