Date,Location,Aircraft Type/ Registration,Fatalities
01 Jan 2002,Hollywood- FloridaAir Taxi - Air Taxi Inc.,Piper PA-31-250N3525Y,1/5(0)
04 Jan 2002,Birmingham- EnglandAgco Corp,Canadair CL-604 N90AG,5/5(0)
09 Jan 2002,Shamsi AFB- PakistanMilitary - U.S. Air Force,Lockheed Hercules KC-130R160021,7/7(0)
14 Jan 2002,Bilbao- SpainIbertrans Aérea,Embraer EMB-120 BrasiliaEC-GTJ,3/3(0)
15 Jan 2002,Chilpancingo- MexicoProcuraduría General de la República,de Havilland DHC-6 Twin Otter 300XC-FIT,5/17(0)
16 Jan 2002,Near Solo- IndonesiaGaruda Indonesia Airlines,Boeing B-737-3Q8PK-GWA,1/62(0)
17 Jan 2002,Near La Bonita- EcuadorPetroproducción,Fairchild FH-227EHC-AYM,26/26(0)
19 Jan 2002,Near Milford Sound- New ZealandAir Fiordland,Cessna 207 SkywagonZK-SEV,6/6(0)
27 Jan 2002,Near Luena- AngolaMilitary - Angolan  Air Force,Antonov AN-12T-304,5/40(0)
28 Jan 2002,Near Ipiales- ColombiaTAME,Boeing B-727-134HC-BLF,92/92(0)
02 Feb 2002,Ellsworth AFB- South DakotaMilitary - U.S. Air Force,Learjet C-21A84-0097,2/2(0)
12 Feb 2002,Near Khorramabed- IranIran Air Tours,Tupolev TU-154EP-MBS,117/117(0)
15 Feb 2002,Monrovia- LiberiaTiramavia,Antonov 12BPER-ADL,1/10(0)
21 Feb 2002,Lakhta- RussiaMilitary - Russian Navy,Antonov AN-2607RED,17/20(0)
22 Feb 2002,Off Dumaguete- PhilippinesMilitary - U.S. Army,MH-47 Chinook helicopter92-0471,10/10(0)
09 Mar 2002,Monte Rotondo- ItalySvedijos Prekés,Antonov 2TPLY-AVD,3/3(0)
14 Mar 2002,Near Placetas- CubaCharter - Aerotaxi,Antonov AN-2CU-T1020,17/17(0)
15 Mar 2002,Alma- WisconsinPriorty Air Charter,Cessna 208B Caravan I Super CargomasterN228PA,1/1(0)
17 Mar 2002,Off Djibouti- Republic of DjiboutiDjibouti Airlines,Let 410UVP-EJ2-KBC,4/4(0)
01 Apr 2002,Near Cairns- QLD- AustraliaAir Taxi,Shrike Commander 500SVH-UJB,4/4(0)
