Date,Location,Aircraft Type/ Registration,Fatalities
10 Sep 1976,Near Gaj- Hrvatska- YugoslaviaInex Adria Aviopromet / British Airways,McDonnell Douglas DC-9-31 / Trident 3BYU-AJR/G-AWZT,176/176(0)
19 Sep 1976,Karatepe Mountains- TurkeyTurkish Airlines (THY),Boeing B-727-2F2TC-JBH,154/154(0)
22 Sep 1976,San Bernardino- CaliforniaLoma Linda University - Air Taxi,Sikorsky S-55BN9389,4/4(0)
22 Sep 1976,Near Mosher Creek- CanadaAir West Airlines Ltd.,de Havilland Canada DHC-6 Twin Otter 100C-FAWF,1/19(0)
26 Sep 1976,Near Alpena- MichiganMilitary - U.S. Air Force,Boeing KC-135A61-0296,15/20(0)
04 Oct 1976,Nairobi- KenyaEmirates Air Transport,Douglas DC-7CFTZ-ARC,4/4(0)
06 Oct 1976,Off Bridgetown- BarbadosCubana de Aviacion,McDonnell Douglas DC-8-43CU-T1201,73/73(0)
09 Oct 1976,Busick- North CarolinaAero National - Air Taxi,Piper PA-34N15025,4/4(0)
13 Oct 1976,Santa Cruz- BoliviaLloyd Aéreo Boliviano,Boeing B-707-31N730JP,3/3(113)
13 Oct 1976,Near Bombay- IndiaIndian Airlines,Sud-Aviation Caravelle VI-NVT-DWN,95/95(0)
20 Oct 1976,Hampton- VirginiaSkyline Aviation - Air Taxi,Piper PA-31N61436,4/4(0)
25 Oct 1976,El Yopal- ColombiaTaxi Aereo el Venado,Douglas C-47DLHK-149,32/32(0)
28 Oct 1976,Near Petrolia- BrazilNordeste Linhas Aéreas,Embraer 110C BandeirantePT-TBA,2/6(0)
04 Nov 1976,Banjarmasin- IndonesiaBali International Air Service,Fokker F-27 Friendship 100PK-KFR,29/38(0)
05 Nov 1976,Atlantic OceanInair Panama,Douglas DC-3HP-671,2/2(0)
12 Nov 1976,Shannon- IrelandAeroleasing - Air Taxi,Piper PA-31THB-LHT,5/5(0)
23 Nov 1976,Kozani- GreeceOlympic Airways,NAMC YS-11A-500SX-BBR,50/50(0)
23 Nov 1976,Eastville- Kisangani- CongoPacific Western Airlines,L-100-20C-FPWX,6/6(0)
28 Nov 1976,Moscow- RussiaAeroflot,Tupolev TU-104BCCCP-42471,73/73(0)
29 Nov 1976,Grand Canyon- ArizonaGrand Canyon Air - Air Taxi,Piper PA-32-300N4125R,2/2(0)
12 Dec 1976,Cape May- New JerseyAtlantic City Airlines,de Havilland Canada DHC-6 Twin Otter 300N101AC,3/10(0)
17 Dec 1976,	Ust-Kut- RussiaAeroflot,Yakovlev 40CCCP-88208,7/7(0)
17 Dec 1976,Kiev- USSRAeroflot,Antonov AN-24RVCCCP-46672,48/55(0)
18 Dec 1976,Nnear Yuzhno-Sakhalinsk- RussiaAeroflot,	Ilyushin IL-14MCCCP-61752,8/8(0)
25 Dec 1976,Near Bangkok- ThailandEgyptAir,Boeing B-707-366CSU-AXA,53/53(19)
28 Dec 1976,WisconsonValley Air Service - Air Taxi,Piper PA-23-250N4573P,6/6(0)
31 Dec 1976,Near Trujillo- PeruFaucett,Douglas C-54A-1-DOOB-R-247,19/19(0)
