Date,Location,Aircraft Type/ Registration,Fatalities
01 Jan 1976,Near Al Qaysumah- Saudi ArabiaMiddle East Airlines,Boeing B-720B-023BOD-AFT,82/82(0)
03 Jan 1976,Moscow- RussiaAeroflot,Tupolev TU-124CCCP-45036,61/61(1)
03 Jan 1976,Anchorage- AlaskaWinship Air,Lear Jet 24AN651LJ,6/6(0)
06 Jan 1976,Grants- New MexicoOrlando Airways - Air Taxi,Piper PA-23N5258Y,4/4(0)
08 Jan 1976,Mactan Island- PhilippinesPhilippine Aerotransport,Britten-Norman BN-2A-21 IslanderRP-C2135,7/7(0)
15 Jan 1976,Orofino- IdahoGreen Acres - Air Taxi,Bellanca 17-30N7385V,3/3(0)
15 Jan 1976,Near Bogota- ColombiaTaxi Aereo el Venado,Douglas C-54AHK-172,13/13(0)
18 Jan 1976,Near San Borja- BoliviaFrigorifico Maniqui,Douglas C-47CP- 573,7/10(0)
20 Jan 1976,Near Loja- EcuadorTAME,Hawker Siddeley HS-748-246FAE-683,34/42(0)
21 Jan 1976,Near Shanghai- ChinaCAAC,Antonov AN-24B-492,40/40(0)
22 Jan 1976,Chapeco- BrazilTransbrasil,Embraer 110C BandeirantePT-TBD,9/11(0)
30 Jan 1976,Frunze- KyrgyzstanAeroflot,Ilyushin IL-18VCCCP-75558,6/6(0)
03 Feb 1976,Lafayette- LouisianaFalcon Airways - Air Taxi,Beechcraft  C-45HN3329G,2/2(0)
04 Feb 1976,Off Santa Maria- ColombiaLAC Colombia,Douglas DC-6AHK-1389,3/3(0)
06 Feb 1976,Madrid- SpainMilitary - U.S. Air Force,Boeing KC-135A60-0368,7/7(0)
08 Feb 1976,Van Nuys- CaliforniaMercer Airlines,Douglas DC-6N901MA,3/6(0)
09 Feb 1976,Irkutsk- RussiaAeroflot,Tupolev TU-104ACCCP-42327,24/124(0)
21 Feb 1976,St. Croix- Virgin IslandsAntilles Air,Grumman G-21A seaplaneN4772C,5/11(0)
01 Mar 1976,Sibiu- RomaniaTarom,Ilyushin II-14PYR-ILO,6/9(0)
02 Mar 1976,Southeastern BoliviaTAM (Bolivia),IAI Arava 201TAM-76,19/22(0)
06 Mar 1976,Near Voronezh- RussiaAeroflot,Ilyushin IL-18ECCCP-75408,111/111(7)
07 Mar 1976,Igiugig- AlaskaKodiak Western Alaska Airlines,Cessna 207N91142,4/4(0)
07 Mar 1976,San Onofre- CaliforniaSky Haven - Air Taxi,Cessna 172MN1631V,2/2(0)
18 Mar 1976,Havana. CubaCubana de Aviacion,Antonov An-24BCU-T879,5/5(0)
02 Apr 1976,Near Puerto Asis- ColombiaSATENA,Douglas DC-3FAC-676,5/16(0)
05 Apr 1976,Ketchikan- AlaskaAlaska Airlines,Boeing B-727-81N124AS,1/50(0)
08 Apr 1976,Friday Harbor- WashingtonNorth Sound Aviation,Cessna 207N1645U,7/7(0)
08 Apr 1976,Aspen- ColoradoRoyal American - Air Taxi,Beechcraft A36N6061S,2/2(0)
14 Apr 1976,Neuquen- ArgentinaYacimientos Petroliferos Fiscales,Hawker Siddeley HS-748 2LV-HHB,34/34(0)
15 Apr 1976,Palm Desert- CaliforniaChartair - Air Taxi,Beech B60N37D,6/6(0)
23 Apr 1976,Gulf of MexicoPetroleum Helicopter,Bell 205 A-1 helicopterN8167J,12/12(0)
27 Apr 1976,St. Thomas- Virgin IslandsAmerican Airlines,Boeing B-727-95N1963,37/88(0)
27 Apr 1976,Anaktuvuk- AlaskaFrontier Flying Service - Air Taxi,Cessna 207N1707U,5/5(0)
04 May 1976,Near Monze- Zambiade Havilland Aircraft,de Havilland Canada DHC-6 Twin Otter 300C-GDHA,9/11(0)
05 May 1976,Camuigan- PhilippinesPhilippine Aerotransport,Britten-Norman BN-2A-21 IslanderRP-C2140,4/10(0)
09 May 1976,Near Cuneca- SpainMilitary - Imperial Iranian Air Force,Boeing B-747-131F5-283,17/17(0)
15 May 1976,Chernigov- Ukraine- USSRAeroflot,Antonov AN-24CCCP-46534,52/52(0)
18 May 1976,Petersburg- AlaskaLab Flying Service - Air Taxi,Piper PA-34N55951,6/6(0)
23 May 1976,Zamboanga- PhilipinesPhilippine Air Lines,BAC One-Eleven 527FKRP-C1161,14/87(3)
01 Jun 1976,Nacias Nguema- Equatorial GuineaAeroflot,Tupolev TU-154ACCCP-85102,45/45(0)
04 Jun 1976,Agana- GuamAir Manila,Lockheed 188A ElectraRP-C1061,45/45(1)
06 Jun 1976,Off Kota Kinabalu- MalaysiaSabah Air,GAF Nomad N-22B9M-ATZ,12/12(0)
10 Jun 1976,Somerset- ColoradoSky Chopper  - Air Taxi,Bell 47G3B1N7894S,2/2(0)
27 Jun 1976,Entebbe- UgandaAir France,Airbus A300F-BVGG,7/258(0)
05 Jul 1976,Daiku- BurmaMilitary - Burma Air Force,Douglas C-47?,17/17(0)
24 Jul 1976,Huntsville- MissouriReed Aviation - Air Taxi,Piper PA-28RN7941C,5/5(0)
27 Jul 1976,Greensburg- KansasCapitol Air Service - Air Taxi,Piper PA-34N56712,2/3(0)
28 Jul 1976,Bratislava- CzechoslovakiaCeskoslovenske Aerolinie,Ilyushin IL-18LOK-NAB,76/79(0)
01 Aug 1976,Billings- VermontMamer - Shreck  - Air Taxi,Beechcraft S35N8681Q,3/4(0)
02 Aug 1976,Near Tehran- IranKorean Airlines,Boeing 707-373HL7412,5/5(0)
09 Aug 1976,Moron AFB- Spain	Moron AFB- Spain	Moron AFB- SpainMilitary - Spanish Air Force,Douglas C-54ET4/11-352,11/33(0)
15 Aug 1976,Andes Mountains- EcuadorSAETA,Vickers Viscount 785DHC-ARS,59/59(0)
25 Aug 1976,Sunnyside- UtahGreen River Aviation - Air Taxi,Cessna 185N9924X,3/3(0)
28 Aug 1976,Shanisu River- PeruAeroperu,Canadair CL-44OB-R-1104,6/6(0)
28 Aug 1976,Near Thorney- EnglandMilitary - U.S. Air Force,Lockheed C-141A (L.300)67-0006,18/18(0)
28 Aug 1976,Sondre Stromfjord-GreenlandMilitary - U.S. Air Force,Lockheed C-141A (L.300)67-0008,23/27(0)
28 Aug 1976,Ho Chi Minh City- VietnamAir France,Sud Aviation SE 210 Caravelle IIIF-BSGZ,1/20(0)
02 Sep 1976,Hawk Inlet- AlaskaTemsco Helicopter - Air Taxi,Hughes 369HSN9172F,3/4(0)
03 Sep 1976,Lajes- Azores- PortugalMilitary - Venezuelan Air Force,Lockheed C-130H7772,68/68(0)
03 Sep 1976,Timmins- Ontario- CanadaAustin Airways,de Havilland Canada DHC-3 OtterCF-MIT,10/10(0)
09 Sep 1976,Off Adler- RussiaAeroflot / Aeroflot,Antonov AN-24 / Yakovlev Yak-40CCCP46518/87772,64/64(0)
