Date,Location,Aircraft Type/ Registration,Fatalities
21 Jan 1932,Colvin Park- IlinoisNorthwest Airways,Stinson SM-2A?,1/1(0)
29 Jan 1932,Lebec- CaliforniaCentury Pacific Lines,Stinson SM-6000B?,8/8(0)
01 Feb 1932,Off Miami- FloridaBimini Airways,Fairchild?,5/5(0)
02 Feb 1932,Marcellus- MichiganTransamerican Airlines,Stearman C-3MB?,1/1(0)
02 Feb 1932,Rio Vista- CaliforniaBoeing Air Transport,Boeing 40NC7470,1/2(0)
27 Feb 1932,Off Setiba- BrazilAeropostale,Latecoere 28F-AJOX,3/3(0)
08 Mar 1932,Saint Louis- IllinoisCentury Air Lines,Stinson SM-6000B?,2/5(0)
19 Mar 1932,Calimesa- CaliforniaAmerican Airways,Fokker F-10ANC-652E,7/7(0)
21 Mar 1932,Steubenville- OhioTrans Continental and Western Air,Northrop Alpha?,1/1(0)
29 Mar 1932,SyriaAir Orient,Farman F-190F-AJDPF-AJDP,3/3(0)
31 Mar 1932,Bedford- OhioNational Air Transport,Boeing 95NC191E,1/1(0)
21 Apr 1932,Fort Wayne- IndianaTransamerica Airlines,Stearman C-3MB?,1/1(0)
03 May 1932,Portland- OregonVarney Air Lines,Boeing 40NC830M,2/2(0)
16 May 1932,Burbank- CaliforniaPacific Air Transport,Boeing 40NC5589,3/3(0)
16 Jul 1932,Mount El Plomo- near Vitacura- ChilePanagra,Ford 5-AT-C Tri MotorNC403H,9/9(0)
12 Aug 1932,Beyrouth- LebanonAir Orient,CAMS 53F-AIQY,1/7(0)
30 Aug 1932,Tubergen- GermanyA B Aerotransport,Junkers G-23SE-AAE,2/2(0)
08 Sep 1932,Salt Flats- TexasAmerican Airways,Fokker F-10NC9716,3/4(0)
17 Sep 1932,Selsdon Park- EnglandAir Union,Liore-et-Olivier 213F-AIFE,1/2(0)
18 Sep 1932,Byron Bay- AustraliaNew England Airways,De Havilland DH-80VH-UPM,3/3(0)
12 Oct 1932,Port Etienne- MauritaniaAeropostale,Latecoere 28?,1/1(0)
26 Oct 1932,Villa Monte- BoliviaLloyd Aero Boliviano,Ford Tri-motor 5?,2/2(0)
29 Oct 1932,Ramsgate- EnglandDeutsche Lufthansa,Junkers W-33?,2/2(0)
02 Nov 1932,Echterpfuhl- GermanyDeutsche Lufthansa,Junkers F-13D-724,5/5(0)
25 Nov 1932,Marianna- ArkansasHunter Airways,Travel Air 6000?,2/2(0)
14 Dec 1932,Rocky Ridge- ColoradoBoeing Air Transport,Boeing 40NC842M,1/1(0)
14 Dec 1932,Amarillo- TexasTrans Continental and Western Air,Ford 5NC9650,2/2(0)
26 Dec 1932,Wau- AustraliaGuinea Airways,De Havilland DH-60VH-UMJ,2/2(0)
