Date,Location,Aircraft Type/ Registration,Fatalities
01 Jan 1970,Nulato- AlaskaGalena Air Service - Air Taxi,Cessna 180N3472Y,2/4(0)
05 Jan 1970,Stockholm- SwedenSpantax,Convair CV-990-30A-5EC-BNM,5/10(0)
12 Jan 1970,Near Villia GreeceMilitary - Royal Hellenic Air Force,Douglas C-47?,23/27(0)
13 Jan 1970,Faleolo- Western SamoaPolynesian Airlines,Douglas DC-35W-FAC,32/32(0)
14 Jan 1970,Mt. Pumacona- PeruFaucett,Douglas DC-4OB-R-776,28/28(0)
24 Jan 1970,Portage- MichiganBuckeye Air Service - Air Taxi,Beechcraft TC-45JN3766,2/2(0)
25 Jan 1970,Near Poza Rica- MexicoCharter -Federal Electricity Commission,Convair CV-240-2XB-DOK,19/19(0)
25 Jan 1970,Near Delhi- IndiaRoyal Nepal Airlines,Fokker F-27 Friendship 2009N-AAR,1/23(0)
28 Jan 1970,Near Batagai- RussiaAeroflot,Antonov AN-24CCCP-47701,34/34(0)
28 Jan 1970,Cleveland- OhioTAG Airlines,De Havilland DoveN2300H,9/9(0)
29 Jan 1970,Near Murmansk- RussiaAeroflot,Tupolev TU-124CCCP-45083,11/11(0)
04 Feb 1970,Near Corrientes- ArgentinaAerolineas Argentinas,Hawker Siddeley HS-748 1LV-HGW,37/37(0)
04 Feb 1970,Apuseni mountains- RomaniaTarom,Antonov AN-24VYR-AMT,21/22(0)
06 Feb 1970,Near Samarkand- USSRAeroflot,Ilyushin IL-18VCCCP-75798,92/106(0)
10 Feb 1970,Long Island Sound- ConnecticutPilgrim Airlines,de Havilland Canada DHC-6 Twin Otter 100N124PM,5/5(0)
12 Feb 1970,Puerto Infrida- ColombiaLineas Aéreas La Urraca,Douglas DC-3 (C-47-DL)HK-1270,12/12(2)
13 Feb 1970,Pin-la-Garenne- FranceAvia-Taxi,Cessna 402F-BPJA,10/10(0)
15 Feb 1970,Off Santo Domingo- Dominican RepublicCompania Dominicana de Aviacion,McDonnell Douglas DC-9-32HI-177,102/102(0)
18 Feb 1970,Elizabeth- New JerseySuburban Airlines - Air Taxi,Cessna 402N3218Q,4/4(0)
19 Feb 1970,CongoAir Congo,Douglas DC-39Q-CUD,17/17(0)
21 Feb 1970,Zurich- SwitzerlandSwissair,Convair CV-990-30A-6HB-ICD,47/47(0)
06 Mar 1970,St. Moritz- SwitzerlandBavaria Flug,Handley Page Jetstream 1D-INAH,11/11(0)
