Date,Location,Aircraft Type/ Registration,Fatalities
01 Jan 2007,Off Parepare- IndonesiaAdam Air,Boeing B-737-4Q8PK-KKW,102/102(0)
05 Jan 2007,Matabwe- TanzaniaDJB Air Charter,Piper PA-31-3105H-MUX,1/10(0)
09 Jan 2007,Near Balad Air Base- IraqMoldovan Aeriantur-M Air Cargo,Antonov 26B-100ER-26068,34/35(0)
09 Jan 2007,Zapotlanejo- MexicoAmeristar Jet Charter,Learjet 24FN444TW,2/2(0)
12 Jan 2007,Van Nuys- CaliforniaSunQuest Executive Air Charter,Cessna Citation 525N77215,2/2(0)
20 Jan 2007,Near Baghdad- IraqMilitary - US Army,Sikorsky UH-60L Black Hawk?,12/12(0)
25 Jan 2007,Pau- FranceRegional Compagnie Aerienne Europeenne,Fokker 100F-GMPG ,0/54(1)
06 Feb 2007,East Bay Cay- Turks & Caicos IslandsAir Turks & Caicos,Beechcraft Super King Air B200VQ-TIU,1/6(0)
07 Feb 2007,Belgrade- MontanaMetro Aviation,Beechcraft Super King Air B200N45MF,3/3(0)
07 Mar 2007,Yogyakarta- IndonesiaGaruda Indonesia Airlines,Boeing B-737-497PK-GZC,22/140(0)
08 Mar 2007,Princeville- HawaiiHeli-USA Airways,Aerospatiale AS350BA RotocraftN354NT,4/7(0)
11 Mar 2007,Hanea- Kauai- HawaiiInter-Island,Mc Donnell Douglas 369FF RotocraftN911VC,1/5(0)
14 Mar 2007,Fazenda Nossa Senhora de Lourdes- BrazilBahia Taxi Aéreo	Bahia Taxi Aéreo	Bahia Taxi Aéreo,Rockwell 500S Shrike CommanderPP-SEC,4/4(0)
17 Mar 2007,Samara- RussiaUTAir Airlines,Tuolev 134AKRA-65021,6/57(0)
23 Mar 2007,Mogadishu- SomaliaTransaviaexport Airlines,Ilushin Il-76TDEW-78849 ,11/11(0)
25 Apr 2007,Near Kopinang- GuyanaAir Services,Pilatus Britten Norman BN-2A-27 Islander8R-GET,3/5(0)
27 Apr 2007,Shatoi- ChechnyaMilitary - Russian,Mi 8?,18/18(0)
05 May 2007,Near Dizangue- CameroonKenya Airways,Boeing B-737-8AL5Y-KYA,114/114(0)
06 May 2007,Near El-Thamad- EgyptMilitary - French Air Force,de Havilland Canada DHC-6 Twin Otter742/CB,9/9(0)
17 May 2007,Walikale Airstrip- CongoSafe Air Complany,Let 410UVPTN-AHE,3/3(0)
24 May 2007,Near Pampa Hermosa- PeruMilitary - Peruvian Air Force,de Havilland Canada DHC-6 Twin Otter 300FAP-303,13/20(0)
03 Jun 2007,Freetown- Sierra LeoneParamount Airlilnes,Mi-8?,21/22(0)
04 Jun 2007,Near Milwaukee- WisconsonUniversity of Michigan Health System,Cessna 550 Citation IIN550BP,6/6(0)
13 Jun 2007,Selenge province- MongoliaMongolian Defense Ministry,Mi-8?,15/22(0)
16 Jun 2007,Vungano Hills- MalawiNyika Safaris,Cessna 206?,6/6(0)
21 Jun 2007,Near Kamina- CongoKaribu Airways,Let 410UVP9Q-CEU,1/25(0)
25 Jun 2007,Near Sihanoukville- CambodiaPMT Air,Antonov AN-24VXU-U4A,22/22(0)
28 Jun 2007,M'Banza Congo- AngolaTAAG Angola Airlines,Boeing 737-2M2D2-TBP,5/78(0)
05 Jul 2007,Connemara- IrelandCharter - Private,Cessna 208B Grand CaravanN208EC,2/9(0)
05 Jul 2007,Culiacan- MexicoJett Paqueteria SA,North American CT-39A SabrelineXA-TFL,3/3(6)
08 Jul 2007,Muncho Lake- British Columbia- CanadaLiard Air,de Havilland DHC-6 Twim Otter 100C-FAWC,1/5(0)
17 Jul 2007,Sao Paulo- BrazilTAM (Brazil),Airbus A-320-233PR-MBK,187/187(12)
23 Jul 2007,Near Shinile- EthiopiaDjibouti Airlines,Antonov AN-26VEX-030,1/9(0)
24 Jul 2007,Rudyerd Bay- AlaskaTaquan Air Service,de Havilland DHC-2 MK.1 BeaverN995WA,5/5(0)
29 Jul 2007,Moscow- RussiaAtran,Antonov AN-12BPRA-93912,9/9(0)
05 Aug 2007,Near Ruidoso- New MexicoSouthwest Medivac,Beechcraft King Air E-90N369CD,5/5(0)
09 Aug 2007,Off Moorea- French PolynesiaAir Moorea,de Havilland Canada DHC-6 Twin Otter 300F-OIQ,20/20(0)
16 Aug 2007,Near Ketchikan- AlaskaSeaWind Aviation,de Havilland Canada DHC-2 BeaverN345KA,6/10(0)
22 Aug 2007,Near Curitiba- BrazilTwo Taxi Aero,Embraer EMB-110P1 BandeirantPT-SDB,2/2(0)
22 Aug 2007,Near Kirkuk- IraqMilitary - U.S. Army,UH-60 Blackhawk helilcopter?,14/14(0)
26 Aug 2007,Kongolo- Democratic Republic CongoGreat Lakes Business Complany,Antonov AN-329Q-CAC,14/15(0)
07 Sep 2007,Goma- Democratic Republic CongoGalaxy Kavatsi Airlines,Antonov AN-12BP4L-SAS,8/8(0)
16 Sep 2007,Phuket- ThailandOne-Two-Go Airlines,McDonnell Douglas MD-82HS-OMG,90/130(0)
24 Sep 2007,Malemba Nkulu- DR CongoKaribu Airways,Let 4109Q-CVL,1/6(0)
04 Oct 2007,Kinshasa- DR CongoAfrica One Congo,Antonov AN-269Q-COS,21/22(30)
04 Oct 2007,Alamosa- ColoradoScenic Air Tours,Beechcraft King Air C90AN590GM,3/3(0)
07 Oct 2007,White Pass- WashingtonKapowsin Air Sports,Cessna 208 CaravanN430A,10/10(0)
08 Oct 2007,Near Cubarral- ColombiaNacional de Aviacion,Let 410 UVP-E10AHK-4055,18/18(0)
04 Nov 2007,Sao Paulo- BrazilReali Taxi Aereo,Learjet 35APT-OVC,2/2(6)
08 Nov 2007,Khartoum- SudanJuba Air Cargo,Antonov 12ST-JUA,0/4(2)
30 Nov 2007,Near Isparta- TurkeyAtlasjet Airlines,McDonnell Douglas MD-83TC-AKM,57/57(0)
03 Dec 2007,Off Whittier- AlaskaEvergreen Alaska Helicopters- Inc.,Eurocopter Deutschland BK117C1N141LG,4/4(0)
05 Dec 2007,Columbus- OhioCastle Aviation,Cessna 208B Caravan I Super CargomasterN28MG,2/2(0)
09 Dec 2007,Kiev- UkraineFun Air,Beechcraft King Air C90BD-IBDH,5/5(0)
